team_name,opponent,startdate,match_format,ground,match_result,margin,toss,batting,runs,wickets,overs_played,runs_avg_per_over
Australia,Pakistan,1979-06-13,ODI,Nottingham,lost,89 runs,won,2nd,197.0,10.0,57.1,3.44
Canada,England,1979-06-13,ODI,Manchester,lost,8 wickets,won,1st,45.0,10.0,40.3,1.11
England,Canada,1979-06-13,ODI,Manchester,won,8 wickets,lost,2nd,46.0,2.0,13.5,3.32
Sri Lanka,India,1979-06-16,ODI,Manchester,won,47 runs,lost,1st,238.0,5.0,60.0,3.96
India,Sri Lanka,1979-06-16,ODI,Manchester,lost,47 runs,won,2nd,191.0,10.0,54.1,3.52
West Indies,New Zealand,1979-06-16,ODI,Nottingham,won,32 runs,lost,1st,244.0,7.0,60.0,4.06
New Zealand,West Indies,1979-06-16,ODI,Nottingham,lost,32 runs,won,2nd,212.0,9.0,60.0,3.53
Canada,Australia,1979-06-16,ODI,Birmingham,lost,7 wickets,lost,1st,105.0,10.0,33.2,3.15
Australia,Canada,1979-06-16,ODI,Birmingham,won,7 wickets,won,2nd,106.0,3.0,26.0,4.07
England,Pakistan,1979-06-16,ODI,Leeds,won,14 runs,lost,1st,165.0,9.0,60.0,2.75
Pakistan,England,1979-06-16,ODI,Leeds,lost,14 runs,won,2nd,151.0,10.0,56.0,2.69
England,New Zealand,1979-06-20,ODI,Manchester,won,9 runs,lost,1st,221.0,8.0,60.0,3.68
New Zealand,England,1979-06-20,ODI,Manchester,lost,9 runs,won,2nd,212.0,9.0,60.0,3.53
West Indies,Pakistan,1979-06-20,ODI,The Oval,won,43 runs,lost,1st,293.0,6.0,60.0,4.88
Pakistan,West Indies,1979-06-20,ODI,The Oval,lost,43 runs,won,2nd,250.0,10.0,56.2,4.43
West Indies,Australia,1979-11-27,ODI,Sydney,lost,5 wickets,lost,1st,193.0,10.0,49.3,3.89
Australia,West Indies,1979-11-27,ODI,Sydney,won,5 wickets,won,2nd,196.0,5.0,47.1,4.15
England,West Indies,1979-11-28,ODI,Sydney,won,2 runs,lost,1st,211.0,8.0,50.0,4.22
West Indies,England,1979-11-28,ODI,Sydney,lost,2 runs,won,2nd,196.0,10.0,47.0,4.17
Australia,England,1979-12-08,ODI,Melbourne,lost,3 wickets,lost,1st,207.0,9.0,50.0,4.14
England,Australia,1979-12-08,ODI,Melbourne,won,3 wickets,won,2nd,209.0,7.0,49.0,4.26
West Indies,Australia,1979-12-09,ODI,Melbourne,won,80 runs,lost,1st,271.0,2.0,48.0,5.64
Australia,West Indies,1979-12-09,ODI,Melbourne,lost,80 runs,won,2nd,191.0,8.0,48.0,3.97
England,Australia,1979-12-11,ODI,Sydney,won,72 runs,won,1st,264.0,7.0,49.0,5.38
Australia,England,1979-12-11,ODI,Sydney,lost,72 runs,lost,2nd,192.0,10.0,47.2,4.05
Australia,West Indies,1979-12-21,ODI,Sydney,won,7 runs,lost,1st,176.0,6.0,50.0,3.52
West Indies,Australia,1979-12-21,ODI,Sydney,lost,7 runs,won,2nd,169.0,10.0,42.5,3.94
England,West Indies,1979-12-23,ODI,Brisbane,lost,9 wickets,lost,1st,217.0,8.0,50.0,4.34
West Indies,England,1979-12-23,ODI,Brisbane,won,9 wickets,won,2nd,218.0,1.0,46.5,4.65
Australia,England,1979-12-26,ODI,Sydney,lost,4 wickets,won,1st,194.0,6.0,47.0,4.12
England,Australia,1979-12-26,ODI,Sydney,won,4 wickets,lost,2nd,195.0,6.0,45.1,4.31
Australia,England,1980-01-14,ODI,Sydney,lost,2 wickets,lost,1st,163.0,10.0,48.4,3.34
England,Australia,1980-01-14,ODI,Sydney,won,2 wickets,won,2nd,164.0,8.0,48.5,3.35
West Indies,England,1980-01-16,ODI,Adelaide,won,107 runs,lost,1st,246.0,5.0,50.0,4.92
England,West Indies,1980-01-16,ODI,Adelaide,lost,107 runs,won,2nd,139.0,10.0,42.5,3.24
Australia,West Indies,1980-01-18,ODI,Sydney,won,9 runs,won,1st,190.0,10.0,48.3,3.91
West Indies,Australia,1980-01-18,ODI,Sydney,lost,9 runs,lost,2nd,181.0,10.0,49.1,3.68
West Indies,England,1980-01-20,ODI,Melbourne,won,2 runs,lost,1st,215.0,8.0,50.0,4.3
England,West Indies,1980-01-20,ODI,Melbourne,lost,2 runs,won,2nd,213.0,7.0,50.0,4.26
England,West Indies,1980-01-22,ODI,Sydney,lost,8 wickets,won,1st,208.0,8.0,50.0,4.16
West Indies,England,1980-01-22,ODI,Sydney,won,8 wickets,lost,2nd,209.0,2.0,47.3,4.4
West Indies,New Zealand,1980-02-06,ODI,Christchurch,lost,1 wickets,lost,1st,203.0,7.0,50.0,4.06
New Zealand,West Indies,1980-02-06,ODI,Christchurch,won,1 wickets,won,2nd,207.0,9.0,49.4,4.16
West Indies,England,1980-05-28,ODI,Leeds,won,24 runs,lost,1st,198.0,10.0,55.0,3.6
England,West Indies,1980-05-28,ODI,Leeds,lost,24 runs,won,2nd,174.0,10.0,51.2,3.38
England,Australia,1980-08-20,ODI,The Oval,won,23 runs,lost,1st,248.0,6.0,55.0,4.5
Australia,England,1980-08-20,ODI,The Oval,lost,23 runs,won,2nd,225.0,8.0,55.0,4.09
England,Australia,1980-08-22,ODI,Birmingham,won,47 runs,lost,1st,320.0,8.0,55.0,5.81
Australia,England,1980-08-22,ODI,Birmingham,lost,47 runs,won,2nd,273.0,5.0,55.0,4.96
Pakistan,West Indies,1980-11-21,ODI,Karachi,lost,4 wickets,lost,1st,127.0,9.0,40.0,3.17
West Indies,Pakistan,1980-11-21,ODI,Karachi,won,4 wickets,won,2nd,128.0,6.0,40.0,3.2
Australia,New Zealand,1980-11-23,ODI,Adelaide,lost,3 wickets,lost,1st,217.0,9.0,50.0,4.34
New Zealand,Australia,1980-11-23,ODI,Adelaide,won,3 wickets,won,2nd,219.0,7.0,49.1,4.45
Australia,New Zealand,1980-11-25,ODI,Sydney,won,94 runs,won,1st,289.0,3.0,50.0,5.78
New Zealand,Australia,1980-11-25,ODI,Sydney,lost,94 runs,lost,2nd,195.0,10.0,42.5,4.55
Pakistan,West Indies,1980-12-05,ODI,Sialkot,lost,7 wickets,lost,1st,200.0,4.0,40.0,5.0
West Indies,Pakistan,1980-12-05,ODI,Sialkot,won,7 wickets,won,2nd,201.0,3.0,35.3,5.66
India,Australia,1980-12-06,ODI,Melbourne,won,66 runs,lost,1st,208.0,9.0,49.0,4.24
Australia,India,1980-12-06,ODI,Melbourne,lost,66 runs,won,2nd,142.0,10.0,42.1,3.36
New Zealand,Australia,1980-12-07,ODI,Melbourne,lost,4 wickets,won,1st,156.0,10.0,49.5,3.13
Australia,New Zealand,1980-12-07,ODI,Melbourne,won,4 wickets,lost,2nd,159.0,6.0,47.2,3.35
India,New Zealand,1980-12-09,ODI,W.A.C.A,won,5 runs,won,1st,162.0,10.0,47.4,3.39
New Zealand,India,1980-12-09,ODI,W.A.C.A,lost,5 runs,lost,2nd,157.0,10.0,49.5,3.15
India,Australia,1980-12-18,ODI,Sydney,lost,9 wickets,lost,1st,180.0,9.0,49.0,3.67
Australia,India,1980-12-18,ODI,Sydney,won,9 wickets,won,2nd,183.0,1.0,42.2,4.32
West Indies,Pakistan,1980-12-19,ODI,Lahore,won,7 runs,lost,1st,170.0,8.0,40.0,4.25
Pakistan,West Indies,1980-12-19,ODI,Lahore,lost,7 runs,won,2nd,163.0,6.0,40.0,4.07
India,New Zealand,1980-12-21,ODI,Brisbane,lost,3 wickets,won,1st,204.0,10.0,48.5,4.17
New Zealand,India,1980-12-21,ODI,Brisbane,won,3 wickets,lost,2nd,205.0,7.0,48.4,4.21
India,New Zealand,1980-12-23,ODI,Adelaide,won,6 runs,won,1st,230.0,7.0,50.0,4.6
New Zealand,India,1980-12-23,ODI,Adelaide,lost,6 runs,lost,2nd,224.0,10.0,49.3,4.52
India,Australia,1981-01-08,ODI,Sydney,lost,9 wickets,lost,1st,63.0,10.0,25.5,2.43
Australia,India,1981-01-08,ODI,Sydney,won,9 wickets,won,2nd,64.0,1.0,21.0,3.04
India,New Zealand,1981-01-10,ODI,Melbourne,lost,10 wickets,lost,1st,112.0,9.0,34.0,3.29
New Zealand,India,1981-01-10,ODI,Melbourne,won,10 wickets,won,2nd,113.0,0.0,29.0,3.89
India,Australia,1981-01-11,ODI,Melbourne,lost,7 wickets,lost,1st,192.0,5.0,50.0,3.84
Australia,India,1981-01-11,ODI,Melbourne,won,7 wickets,won,2nd,193.0,3.0,47.2,4.07
New Zealand,Australia,1981-01-13,ODI,Sydney,won,1 runs,won,1st,220.0,8.0,50.0,4.4
Australia,New Zealand,1981-01-13,ODI,Sydney,lost,1 runs,lost,2nd,219.0,7.0,50.0,4.38
Australia,India,1981-01-15,ODI,Sydney,won,27 runs,lost,1st,242.0,8.0,50.0,4.84
India,Australia,1981-01-15,ODI,Sydney,lost,27 runs,won,2nd,215.0,8.0,50.0,4.3
New Zealand,India,1981-01-18,ODI,Brisbane,won,22 runs,lost,1st,242.0,9.0,50.0,4.84
India,New Zealand,1981-01-18,ODI,Brisbane,lost,22 runs,won,2nd,220.0,10.0,48.1,4.56
New Zealand,Australia,1981-01-29,ODI,Sydney,won,78 runs,lost,1st,233.0,6.0,50.0,4.66
Australia,New Zealand,1981-01-29,ODI,Sydney,lost,78 runs,won,2nd,155.0,10.0,39.3,3.92
New Zealand,Australia,1981-01-31,ODI,Melbourne,lost,7 wickets,lost,1st,126.0,10.0,46.4,2.7
Australia,New Zealand,1981-01-31,ODI,Melbourne,won,7 wickets,won,2nd,130.0,3.0,39.3,3.29
Australia,New Zealand,1981-02-01,ODI,Melbourne,won,6 runs,won,1st,235.0,4.0,50.0,4.7
New Zealand,Australia,1981-02-01,ODI,Melbourne,lost,6 runs,lost,2nd,229.0,8.0,50.0,4.58
New Zealand,Australia,1981-02-03,ODI,Sydney,lost,6 wickets,won,1st,215.0,8.0,50.0,4.3
Australia,New Zealand,1981-02-03,ODI,Sydney,won,6 wickets,lost,2nd,218.0,4.0,47.4,4.57
West Indies,England,1981-02-04,ODI,Kingstown,won,2 runs,lost,1st,127.0,10.0,47.2,2.68
England,West Indies,1981-02-04,ODI,Kingstown,lost,2 runs,won,2nd,125.0,10.0,48.2,2.58
New Zealand,India,1981-02-14,ODI,Auckland,won,78 runs,lost,1st,218.0,6.0,45.0,4.84
India,New Zealand,1981-02-14,ODI,Auckland,lost,78 runs,won,2nd,140.0,9.0,45.0,3.11
New Zealand,India,1981-02-15,ODI,Hamilton,won,57 runs,lost,1st,210.0,8.0,50.0,4.2
India,New Zealand,1981-02-15,ODI,Hamilton,lost,57 runs,won,2nd,153.0,10.0,45.2,3.37
England,West Indies,1981-02-26,ODI,Albion,lost,6 wickets,lost,1st,137.0,10.0,47.2,2.89
West Indies,England,1981-02-26,ODI,Albion,won,6 wickets,won,2nd,138.0,4.0,39.3,3.49
Australia,England,1981-06-06,ODI,Birmingham,won,2 runs,lost,1st,249.0,8.0,55.0,4.52
England,Australia,1981-06-06,ODI,Birmingham,lost,2 runs,won,2nd,247.0,10.0,54.5,4.5
Australia,England,1981-06-08,ODI,Leeds,won,71 runs,lost,1st,236.0,8.0,55.0,4.29
England,Australia,1981-06-08,ODI,Leeds,lost,71 runs,won,2nd,165.0,10.0,46.5,3.52
West Indies,Pakistan,1981-11-21,ODI,Melbourne,won,18 runs,lost,1st,245.0,8.0,50.0,4.9
Pakistan,West Indies,1981-11-21,ODI,Melbourne,lost,18 runs,won,2nd,227.0,6.0,50.0,4.54
Australia,Pakistan,1981-11-22,ODI,Melbourne,lost,4 wickets,lost,1st,209.0,9.0,50.0,4.18
Pakistan,Australia,1981-11-22,ODI,Melbourne,won,4 wickets,won,2nd,210.0,6.0,49.2,4.25
West Indies,Australia,1981-11-24,ODI,Sydney,lost,7 wickets,won,1st,236.0,8.0,49.0,4.81
Australia,West Indies,1981-11-24,ODI,Sydney,won,7 wickets,lost,2nd,237.0,3.0,47.0,5.04
India,England,1981-11-25,ODI,Ahmedabad,lost,5 wickets,lost,1st,156.0,7.0,46.0,3.39
England,India,1981-11-25,ODI,Ahmedabad,won,5 wickets,won,2nd,160.0,5.0,43.5,3.65
Pakistan,West Indies,1981-12-05,ODI,Adelaide,won,8 runs,lost,1st,140.0,10.0,49.0,2.85
West Indies,Pakistan,1981-12-05,ODI,Adelaide,lost,8 runs,won,2nd,132.0,10.0,38.5,3.39
Australia,Pakistan,1981-12-06,ODI,Adelaide,won,38 runs,won,1st,208.0,10.0,48.3,4.28
Pakistan,Australia,1981-12-06,ODI,Adelaide,lost,38 runs,lost,2nd,170.0,8.0,50.0,3.4
Australia,Pakistan,1981-12-17,ODI,Sydney,lost,6 wickets,lost,1st,222.0,6.0,50.0,4.44
Pakistan,Australia,1981-12-17,ODI,Sydney,won,6 wickets,won,2nd,223.0,4.0,43.2,5.14
Pakistan,West Indies,1981-12-19,ODI,W.A.C.A,lost,7 wickets,won,1st,160.0,10.0,44.4,3.58
West Indies,Pakistan,1981-12-19,ODI,W.A.C.A,won,7 wickets,lost,2nd,161.0,3.0,42.2,3.8
Australia,West Indies,1981-12-20,ODI,W.A.C.A,lost,8 wickets,lost,1st,188.0,9.0,50.0,3.76
West Indies,Australia,1981-12-20,ODI,W.A.C.A,won,8 wickets,won,2nd,190.0,2.0,30.0,6.33
England,India,1981-12-20,ODI,Jalandhar,lost,6 wickets,lost,1st,161.0,7.0,36.0,4.47
India,England,1981-12-20,ODI,Jalandhar,won,6 wickets,won,2nd,164.0,4.0,35.3,4.61
Pakistan,Australia,1982-01-09,ODI,Melbourne,won,25 runs,lost,1st,218.0,6.0,50.0,4.36
Australia,Pakistan,1982-01-09,ODI,Melbourne,lost,25 runs,won,2nd,193.0,10.0,49.0,3.93
Australia,West Indies,1982-01-10,ODI,Melbourne,lost,5 wickets,won,1st,146.0,10.0,42.5,3.4
West Indies,Australia,1982-01-10,ODI,Melbourne,won,5 wickets,lost,2nd,147.0,5.0,47.1,3.11
Pakistan,West Indies,1982-01-12,ODI,Sydney,lost,7 wickets,won,1st,191.0,7.0,50.0,3.82
West Indies,Pakistan,1982-01-12,ODI,Sydney,won,7 wickets,lost,2nd,192.0,3.0,42.1,4.55
Australia,Pakistan,1982-01-14,ODI,Sydney,won,76 runs,lost,1st,230.0,5.0,50.0,4.6
Pakistan,Australia,1982-01-14,ODI,Sydney,lost,76 runs,won,2nd,154.0,10.0,40.3,3.8
Pakistan,West Indies,1982-01-16,ODI,Brisbane,lost,1 wickets,lost,1st,177.0,9.0,50.0,3.54
West Indies,Pakistan,1982-01-16,ODI,Brisbane,won,1 wickets,won,2nd,107.0,9.0,28.5,3.71
Australia,West Indies,1982-01-17,ODI,Brisbane,lost,5 wickets,lost,1st,185.0,9.0,40.0,4.62
West Indies,Australia,1982-01-17,ODI,Brisbane,won,5 wickets,won,2nd,186.0,5.0,38.4,4.81
West Indies,Australia,1982-01-19,ODI,Sydney,lost,5 runs,lost,1st,189.0,10.0,50.0,3.78
Australia,West Indies,1982-01-19,ODI,Sydney,won,5 runs,won,2nd,168.0,7.0,43.1,3.89
West Indies,Australia,1982-01-23,ODI,Melbourne,won,86 runs,lost,1st,216.0,8.0,49.0,4.4
Australia,West Indies,1982-01-23,ODI,Melbourne,lost,86 runs,won,2nd,130.0,10.0,37.4,3.45
West Indies,Australia,1982-01-24,ODI,Melbourne,won,128 runs,won,1st,235.0,9.0,50.0,4.7
Australia,West Indies,1982-01-24,ODI,Melbourne,lost,128 runs,lost,2nd,107.0,10.0,32.2,3.3
Australia,West Indies,1982-01-26,ODI,Sydney,won,46 runs,lost,1st,214.0,8.0,50.0,4.28
West Indies,Australia,1982-01-26,ODI,Sydney,lost,46 runs,won,2nd,168.0,10.0,42.5,3.92
West Indies,Australia,1982-01-27,ODI,Sydney,won,18 runs,won,1st,234.0,6.0,50.0,4.68
Australia,West Indies,1982-01-27,ODI,Sydney,lost,18 runs,lost,2nd,216.0,9.0,50.0,4.32
England,India,1982-01-27,ODI,Cuttack,lost,5 wickets,lost,1st,230.0,6.0,46.0,5.0
India,England,1982-01-27,ODI,Cuttack,won,5 wickets,won,2nd,231.0,5.0,42.0,5.5
New Zealand,Australia,1982-02-13,ODI,Auckland,won,46 runs,lost,1st,240.0,6.0,50.0,4.8
Australia,New Zealand,1982-02-13,ODI,Auckland,lost,46 runs,won,2nd,194.0,10.0,44.5,4.32
England,Sri Lanka,1982-02-13,ODI,Colombo (SSC),won,5 runs,lost,1st,211.0,10.0,44.4,4.72
Sri Lanka,England,1982-02-13,ODI,Colombo (SSC),lost,5 runs,won,2nd,206.0,8.0,45.0,4.57
Sri Lanka,England,1982-02-14,ODI,Colombo (SSC),won,3 runs,lost,1st,215.0,7.0,45.0,4.77
England,Sri Lanka,1982-02-14,ODI,Colombo (SSC),lost,3 runs,won,2nd,212.0,10.0,44.5,4.72
New Zealand,Australia,1982-02-17,ODI,Dunedin,lost,6 wickets,lost,1st,159.0,9.0,49.0,3.24
Australia,New Zealand,1982-02-17,ODI,Dunedin,won,6 wickets,won,2nd,160.0,4.0,45.0,3.55
New Zealand,Australia,1982-02-20,ODI,Wellington,lost,8 wickets,lost,1st,74.0,10.0,29.0,2.55
Australia,New Zealand,1982-02-20,ODI,Wellington,won,8 wickets,won,2nd,75.0,2.0,20.3,3.65
Sri Lanka,Pakistan,1982-03-12,ODI,Karachi,lost,8 wickets,lost,1st,171.0,3.0,33.0,5.18
Pakistan,Sri Lanka,1982-03-12,ODI,Karachi,won,8 wickets,won,2nd,174.0,2.0,29.2,5.93
Pakistan,Sri Lanka,1982-03-29,ODI,Lahore,lost,30 runs,lost,1st,239.0,4.0,40.0,5.97
Sri Lanka,Pakistan,1982-03-29,ODI,Lahore,won,30 runs,won,2nd,227.0,4.0,33.0,6.87
